name,tag,children,FY20,FY19,FY18,FY17,FY16,FY15
Total Assets,level-01,yes,17793.6,15212.74,14703.73,12927.01,10764.29,12311.79
Current Assets,level-02,yes,13814.56,12104.75,11490.88,10038.53,8475.421,9988.133
Cash,level-03,yes,11194.41,9746.641,8891.874,8325.416,7547.522,8329.166
Receivables,level-03,yes,1219.331,702.783,627.678,929.94,318.4046,503.6213
Inventory,level-03,yes,818.7448,1219.23,1276.155,344.3352,335.5939,699.7627
Other Current Assets,level-03,yes,582.0656,436.077,597.645,435.908,219.1283,313.6406
Non-Current Assets,level-02,yes,3979.009,3107.961,3213.108,2888.433,2288.833,2323.621
Property Plant & Equipment,level-03,yes,762.3672,733.95,755.334,761.7104,728.3416,832.5408
Long-Term Investments,level-03,yes,2186.932,1504.206,1786.842,1390.074,1043.924,876.2754
Goodwill & Intangibles,level-03,yes,138.1564,126.81,126.18,112.8512,82.8008,113.113
Other Long-Term Assets,level-03,yes,227.3228,221.067,210.906,188.6104,166.5478,223.6143
Total Liabilities,level-01,yes,3617.311,2479.545,2791.557,1918.444,1128.808,1687.022
Current Liabilities,level-02,no,3272.284,2205.081,2502.684,1620.159,817.0271,1312.511
Non-Current Liabilities,level-02,no,345.0184,274.455,288.864,298.276,311.7729,374.5105
Total Equity,level-01,yes,14176.28,12733.18,11912.17,11008.55,9635.479,10624.76
Common Stock,level-02,no,92.598,90.585,90.585,88.572,83.5395,91.5915
Retained Earnings,level-02,no,15705.5,14011.93,14078.16,13107.76,11631.28,12828.85
Other Equity,level-02,no,-319.6172,-112.941,-165.006,-100.3112,-110.7303,62.4897
